avg_volume,peak_volume,volume_variance,zero_crossing_rate,spectral_centroid,volume_delta,peak_delta,centroid_delta,zcr_decay,rolling_avg_volume,rolling_peak_volume,rolling_decay,near_silence,centroid_volatility,chatter_streak,streak_log,timestamp_start,timestamp_end,is_chatter
0.018531859,0.5068325,0.00083357544,0.060375,1970.8754337869857,0.0,0.0,0.0,0.0,0.018531859,0.5068325,0.0,1,0.0,1,0.6931471805599453,0.0,5.0,1
0.015313684,0.3921491,0.00074165146,0.1056375,2450.787438556408,-0.0032181749120354652,-0.11468338966369629,479.9120047694221,0.0452625,0.016922772,0.4494908,-0.0032181749120354652,1,239.95600238471107,2,1.0986122886681096,5.0,10.0,1
0.016701717,0.22137539,0.00054764445,0.07095,2247.9431235002626,0.0013880329206585884,-0.1707736998796463,-202.8443150561452,-0.034687499999999996,0.016849088,0.3734523,-0.0018301419913768768,1,196.70278006154226,3,1.3862943611198906,10.0,15.0,1
0.01861936,0.155277,0.00060655794,0.1114125,2428.008205507599,0.0019176434725522995,-0.06609839200973511,180.0650820073365,0.0404625,0.016878255,0.25626716,0.003305676393210888,1,90.73045756353599,4,1.6094379124341003,15.0,20.0,1
0.022426058,0.1779021,0.0008951503,0.0981625,2696.107356860341,0.003806697204709053,0.02262510359287262,268.09915135274196,-0.013249999999999998,0.019249046,0.18485148,0.0057243406772613525,1,184.13514625513395,5,1.791759469228055,20.0,25.0,1
0.01788252,0.12906483,0.0005274609,0.1403625,2815.439068353848,-0.004543537274003029,-0.04883727431297302,119.3317114935071,0.0422,0.019642645,0.15408131,-0.0007368400692939758,1,162.00819108572503,6,1.9459101490553132,25.0,30.0,1
0.021082653,0.15205257,0.0007497741,0.128425,2691.8702659525097,0.0032001323997974396,0.022987738251686096,-123.56880240133842,-0.01193749999999999,0.020463744,0.1530065,-0.0013434048742055893,1,57.278325582905424,7,2.0794415416798357,30.0,35.0,1
0.024944516,0.20122817,0.0012409172,0.0746625,2248.9510333813314,0.0038618631660938263,0.049175605177879333,-442.9192325711783,-0.053762500000000005,0.021303229,0.16078185,0.007061995565891266,1,243.2089612008036,8,2.1972245773362196,35.0,40.0,1
0.011129751,0.3579425,0.00036503887,0.1020125,2619.01078724873,-0.013814765028655529,0.1567143201828003,370.05975386739874,0.02735,0.019052306,0.23707442,-0.009952901862561703,1,193.915838460007,9,2.302585092994046,40.0,45.0,1
0.013585925,0.29915935,0.00077711645,0.12795,2359.8580444057075,0.0024561742320656776,-0.058783143758773804,-259.1527428430227,0.025937500000000002,0.016553396,0.28611,-0.011358590796589851,1,155.06440620659055,10,2.3978952727983707,45.0,50.0,1
0.025243102,0.3847319,0.0019635528,0.0724,2082.696944844701,0.011657176539301872,0.08557254076004028,-277.16109956100627,-0.05555,0.016652927,0.3472779,0.01411335077136755,1,218.99034904841037,11,2.4849066497880004,50.0,55.0,1
0.02807959,0.35423017,0.0022011993,0.0735375,2266.649994340608,0.00283648818731308,-0.030501723289489746,183.95304949590673,0.0011374999999999996,0.022302873,0.3460405,0.014493664726614952,1,115.15436023280888,12,2.5649493574615367,55.0,60.0,1
0.020642407,0.33538234,0.0017289846,0.0804625,2483.920073527318,-0.00743718259036541,-0.01884782314300537,217.27007918671006,0.006925000000000001,0.024655035,0.3581148,-0.00460069440305233,1,163.9867917169315,13,2.639057329615259,60.0,65.0,1
0.00996716,0.18314338,0.00025125468,0.1155875,2777.4525868427927,-0.010675246827304363,-0.15223896503448486,293.5325133154747,0.03512499999999999,0.019563053,0.29091862,-0.0181124284863472,1,209.3075653434575,14,2.70805020110221,65.0,70.0,1
